ID,label,statement,subject,speaker,job_title,state,party,barely_true_count,false_count,half_true_count,mostly_true_count,pants_on_fire_count,context,target,words
12163.json,mostly-true,Youth unemployment in minority communities is about 40 to 45 percent.,"diversity,economy,jobs",peter-kinder,Lieutenant governor,Missouri,republican,0.0,0.0,0.0,1.0,1.0,a gubernatorial debate,2,"['youth', 'unemployment', 'in', 'minority', 'communities', 'is', 'about', '40', 'to', '45', 'percent', '.']"
13237.json,true,Says Paul Ryan is still endorsing Trump.,"candidates-biography,elections,campaign-advertising",hillary-clinton,Presidential candidate,New York,democrat,40.0,29.0,69.0,76.0,7.0,a tweet,2,"['says', 'paul', 'ryan', 'is', 'still', 'endorsing', 'trump', '.']"
9727.json,false,What (the Obama administration is) going to come out with in the next several months is youre not even going to be able to burn coal very limitedly in the existing plants.,"climate-change,energy,environment,government-regulation",shelley-moore-capito,U.S. House of Representative,West Virginia,republican,1.0,1.0,0.0,0.0,0.0,a campaign ad,0,"['what', '(the', 'obama', 'administration', 'is)', 'going', 'to', 'come', 'out', 'with', 'in', 'the', 'next', 'several', 'months', 'is', 'youre', 'not', 'even', 'going', 'to', 'be', 'able', 'to', 'burn', 'coal', 'very', 'limitedly', 'in', 'the', 'existing', 'plants', '.']"
9018.json,true,Austin is a city that has basically doubled in size every 25 years or so since it was founded.,"city-government,population",lee-leffingwell,Austin mayor,Texas,democrat,1.0,0.0,4.0,1.0,0.0,"his ""State of the City"" address",2,"['austin', 'is', 'a', 'city', 'that', 'has', 'basically', 'doubled', 'in', 'size', 'every', '25', 'years', 'or', 'so', 'since', 'it', 'was', 'founded', '.']"
1038.json,true,"The nuclear test conducted in our nation this time is the Earth's 2,054th nuclear test. The five permanent members of the U.N. Security Council have conducted 99.99 percent of the total nuclear tests.",military,north-korea,,,none,0.0,0.0,0.0,0.0,0.0,a released statement,2,"['the', 'nuclear', 'test', 'conducted', 'in', 'our', 'nation', 'this', 'time', 'is', 'the', ""earth's"", '2,054th', 'nuclear', 'test', '.', 'the', 'five', 'permanent', 'members', 'of', 'the', 'u', '.n', '.', 'security', 'council', 'have', 'conducted', '99', '.99', 'percent', 'of', 'the', 'total', 'nuclear', 'tests', '.']"
2940.json,pants-fire,"In the case of a catastrophic event, the Atlanta-area offices of the Centers for Disease Control and Prevention will self-destruct.","health-care,pop-culture",walking-dead,,,none,0.0,0.0,0.0,0.0,1.0,the TV show's season finale,0,"['in', 'the', 'case', 'of', 'a', 'catastrophic', 'event,', 'the', 'atlanta-area', 'offices', 'of', 'the', 'centers', 'for', 'disease', 'control', 'and', 'prevention', 'will', 'self-destruct', '.']"
5352.json,false,Says a U.S. Supreme Court justice suggested that some U.S. cases will be decided based on South African law.,"legal-issues,supreme-court",marco-rubio,U.S. Senator,Florida,republican,33.0,24.0,32.0,35.0,5.0,a speech at the CPAC conference,0,"['says', 'a', 'u', '.s', '.', 'supreme', 'court', 'justice', 'suggested', 'that', 'some', 'u', '.s', '.', 'cases', 'will', 'be', 'decided', 'based', 'on', 'south', 'african', 'law', '.']"
5210.json,pants-fire,"Rep. David Cicilline is responsible for the federal loan guarantee to Solyndra, the failed solar company","energy,stimulus",national-republican-congressional-committee,,,republican,18.0,9.0,8.0,5.0,8.0,a news release,0,"['rep', '.', 'david', 'cicilline', 'is', 'responsible', 'for', 'the', 'federal', 'loan', 'guarantee', 'to', 'solyndra,', 'the', 'failed', 'solar', 'company']"
1926.json,false,We have a director of homeland security who cannot use and will not use the term 'terrorist attack' but instead substitutes 'man-made disaster.' ,"homeland-security,terrorism",jerry-patterson,state land commissioner,Texas,republican,1.0,1.0,1.0,3.0,0.0,a speech at the Texas Republican Party Convention,0,"['we', 'have', 'a', 'director', 'of', 'homeland', 'security', 'who', 'cannot', 'use', 'and', 'will', 'not', 'use', 'the', 'term', ""'terrorist"", ""attack'"", 'but', 'instead', 'substitutes', ""'man-made"", 'disaster', "".'""]"
11418.json,half-true,African-American youth unemployment is 51 percent. Hispanic youth unemployment is 36 percent.,"diversity,economy,jobs",bernie-s,U.S. Senator,Vermont,independent,18.0,12.0,22.0,41.0,0.0,a Democratic presidential debate in Las Vegas,1,"['african-american', 'youth', 'unemployment', 'is', '51', 'percent', '.', 'hispanic', 'youth', 'unemployment', 'is', '36', 'percent', '.']"
7990.json,pants-fire,"Obamacare will provide insurance to all non-U.S. residents, even if they are here illegally.","health-care,immigration",chain-email,,,none,11.0,43.0,8.0,5.0,105.0,a long-running chain email,0,"['obamacare', 'will', 'provide', 'insurance', 'to', 'all', 'non-u', '.s', '.', 'residents,', 'even', 'if', 'they', 'are', 'here', 'illegally', '.']"
12848.json,pants-fire,It was under Barack Obama and Hillary Clinton that changed the rules of engagement that probably cost (Capt. Humayun Khans) life.,"iraq,military",katrina-pierson,,,republican,0.0,0.0,0.0,0.0,1.0,an interview on CNN.,0,"['it', 'was', 'under', 'barack', 'obama', 'and', 'hillary', 'clinton', 'that', 'changed', 'the', 'rules', 'of', 'engagement', 'that', 'probably', 'cost', '(capt', '.', 'humayun', 'khans)', 'life', '.']"
8187.json,false,Says Terry McAuliffe is the person who invented the scheme to rent out the Lincoln Bedroom.,"campaign-finance,ethics,history",ken-cuccinelli,Attorney General,Virginia,republican,1.0,10.0,3.0,2.0,1.0,a speech.,0,"['says', 'terry', 'mcauliffe', 'is', 'the', 'person', 'who', 'invented', 'the', 'scheme', 'to', 'rent', 'out', 'the', 'lincoln', 'bedroom', '.']"
12758.json,true,"We created 800,000 new jobs, we cut the unemployment rate almost in half and today New York State has more private sector jobs than it has ever had in its history",jobs,andrew-cuomo,Governor,New York,democrat,1.0,0.0,0.0,1.0,0.0,"a conversation with reporters in Victor, NY.",2,"['we', 'created', '800,000', 'new', 'jobs,', 'we', 'cut', 'the', 'unemployment', 'rate', 'almost', 'in', 'half', 'and', 'today', 'new', 'york', 'state', 'has', 'more', 'private', 'sector', 'jobs', 'than', 'it', 'has', 'ever', 'had', 'in', 'its', 'history']"
3283.json,half-true,A federal system that verifies employees are authorized to work in the U.S. is inaccurate anywhere from 50 percent all the way up to in excess of 80 percent of the time.,immigration,david-raynor,"Senior Vice President, Government Affairs, Georgia Chamber of Commerce",Georgia,none,0.0,0.0,1.0,0.0,0.0,a state legislative committee meeting,1,"['a', 'federal', 'system', 'that', 'verifies', 'employees', 'are', 'authorized', 'to', 'work', 'in', 'the', 'u', '.s', '.', 'is', 'inaccurate', 'anywhere', 'from', '50', 'percent', 'all', 'the', 'way', 'up', 'to', 'in', 'excess', 'of', '80', 'percent', 'of', 'the', 'time', '.']"
1779.json,true,"On military recruiters at Harvard, Elena Kagan ""took a position and the Supreme Court ruled unanimously that she was wrong.""","education,gays-and-lesbians,kagan-nomination,military,supreme-court",john-barrasso,Senator,Wyoming,republican,1.0,0.0,0.0,0.0,0.0,an interview on Fox News,2,"['on', 'military', 'recruiters', 'at', 'harvard,', 'elena', 'kagan', '""took', 'a', 'position', 'and', 'the', 'supreme', 'court', 'ruled', 'unanimously', 'that', 'she', 'was', 'wrong', '.""']"
8584.json,false,"Under Mayor Cicilline, [Providence] was a sanctuary city.","history,homeland-security,immigration,legal-issues,pundits",john-depetro,Talk-show host,Rhode Island,talk-show-host,0.0,3.0,0.0,0.0,3.0,a statement on WPRO-AM,0,"['under', 'mayor', 'cicilline,', '[providence]', 'was', 'a', 'sanctuary', 'city', '.']"
7425.json,mostly-true,The only time in our history when the debt has been higher than this was the end of World War II.,debt,david-cote,President and CEO of Honeywell International,,none,0.0,0.0,0.0,1.0,0.0,a speech during a “Fix the Debt” press event,2,"['the', 'only', 'time', 'in', 'our', 'history', 'when', 'the', 'debt', 'has', 'been', 'higher', 'than', 'this', 'was', 'the', 'end', 'of', 'world', 'war', 'ii', '.']"
10039.json,mostly-true,The cost of health care is now the single-biggest factor driving down the federal budget deficit.,"deficit,federal-budget,health-care",barack-obama,President,Illinois,democrat,70.0,71.0,160.0,163.0,9.0,a speech at Northwestern University,2,"['the', 'cost', 'of', 'health', 'care', 'is', 'now', 'the', 'single-biggest', 'factor', 'driving', 'down', 'the', 'federal', 'budget', 'deficit', '.']"
2166.json,true,"During the recession, the consumer in his native perversity has begun to save. The savings rate is now 6.2 percent.","economy,abc-news-week",george-will,Columnist,Maryland,columnist,7.0,6.0,3.0,5.0,1.0,"a roundtable discussion on ABC's ""This Week""",2,"['during', 'the', 'recession,', 'the', 'consumer', 'in', 'his', 'native', 'perversity', 'has', 'begun', 'to', 'save', '.', 'the', 'savings', 'rate', 'is', 'now', '6', '.2', 'percent', '.']"
3005.json,barely-true,Says one out of three U.S. homeless men is a veteran.,"poverty,veterans",texas-veterans-commission,,,none,1.0,0.0,0.0,0.0,0.0,a newspaper article.,1,"['says', 'one', 'out', 'of', 'three', 'u', '.s', '.', 'homeless', 'men', 'is', 'a', 'veteran', '.']"
2109.json,half-true,I think it is unacceptable for the Chinese today to be larger in wind power and in solar panels and photovoltaic manufacturing than all of Europe put together -- forget the United States.,energy,maurice-ferre,Former mayor of Miami,Florida,democrat,1.0,0.0,1.0,0.0,0.0,an editorial board meeting,1,"['i', 'think', 'it', 'is', 'unacceptable', 'for', 'the', 'chinese', 'today', 'to', 'be', 'larger', 'in', 'wind', 'power', 'and', 'in', 'solar', 'panels', 'and', 'photovoltaic', 'manufacturing', 'than', 'all', 'of', 'europe', 'put', 'together', '--', 'forget', 'the', 'united', 'states', '.']"
3146.json,false,"In the past 20 years, Egypt has made great strides in political and democratic reform.","foreign-policy,abc-news-week",sameh-shoukry,,,none,0.0,1.0,0.0,0.0,0.0,"an interview on ABC's ""This Week with Christiane Amanpour.""",0,"['in', 'the', 'past', '20', 'years,', 'egypt', 'has', 'made', 'great', 'strides', 'in', 'political', 'and', 'democratic', 'reform', '.']"
11657.json,mostly-true,There is a federal criminal law that says its a crime to transport dentures across state lines.,public-health,bob-goodlatte,U.S. Congressman,Virginia,republican,0.0,1.0,4.0,3.0,0.0,a radio interview.,2,"['there', 'is', 'a', 'federal', 'criminal', 'law', 'that', 'says', 'its', 'a', 'crime', 'to', 'transport', 'dentures', 'across', 'state', 'lines', '.']"
10263.json,false,Austin is burdened by the fastest-growing tax increases of any major city in the nation.,"city-budget,city-government,taxes",jim-skaggs,"Treasurer, Citizens Against Rail Taxes",Texas,none,0.0,1.0,0.0,0.0,0.0,as quoted in a news story,0,"['austin', 'is', 'burdened', 'by', 'the', 'fastest-growing', 'tax', 'increases', 'of', 'any', 'major', 'city', 'in', 'the', 'nation', '.']"
1969.json,false,"Phoenix, Arizona, is the No. 2 kidnapping capital of the world.",immigration,john-mccain,U.S. senator,Arizona,republican,31.0,39.0,31.0,37.0,8.0,comments on 'Meet the Press',0,"['phoenix,', 'arizona,', 'is', 'the', 'no', '.', '2', 'kidnapping', 'capital', 'of', 'the', 'world', '.']"
6359.json,barely-true,"President Ronald Reagan sent troops into conflict only in one circumstance, which was in Grenada We were in a peacekeeping setting in Lebanon.","foreign-policy,history,military",mitt-romney,Former governor,Massachusetts,republican,34.0,32.0,58.0,33.0,19.0,an interview on 'Face the Nation.',1,"['president', 'ronald', 'reagan', 'sent', 'troops', 'into', 'conflict', 'only', 'in', 'one', 'circumstance,', 'which', 'was', 'in', 'grenada', 'we', 'were', 'in', 'a', 'peacekeeping', 'setting', 'in', 'lebanon', '.']"
9213.json,true,Did you know US population growth is at its lowest since the Great Depression?,"immigration,population",robert-sarvis,"lawyer, businessman",Virginia,libertarian,0.0,0.0,0.0,1.0,0.0,a tweet.,2,"['did', 'you', 'know', 'us', 'population', 'growth', 'is', 'at', 'its', 'lowest', 'since', 'the', 'great', 'depression', '?']"
7599.json,mostly-true,"The average student in Florida, what they actually pay out of pocket at our major universities for tuition is as much or less than what they spend on cellphones.",education,will-weatherford,State Representative,Florida,republican,2.0,3.0,4.0,3.0,0.0,a Board of Governors meeting,2,"['the', 'average', 'student', 'in', 'florida,', 'what', 'they', 'actually', 'pay', 'out', 'of', 'pocket', 'at', 'our', 'major', 'universities', 'for', 'tuition', 'is', 'as', 'much', 'or', 'less', 'than', 'what', 'they', 'spend', 'on', 'cellphones', '.']"
4170.json,pants-fire,"The Atlanta streetcar is expected to create 930 jobs during construction, totaling more than 5,600 jobs over the next 20 years.",transportation,federal-transit-administration,,,none,0.0,0.0,0.0,0.0,1.0,a press release,0,"['the', 'atlanta', 'streetcar', 'is', 'expected', 'to', 'create', '930', 'jobs', 'during', 'construction,', 'totaling', 'more', 'than', '5,600', 'jobs', 'over', 'the', 'next', '20', 'years', '.']"
10624.json,mostly-true,"Says Secretary of State John Kerry, when he was a senator, flew to Managua and met with a communist dictator there, Daniel Ortega, and accused the Reagan administration of engaging in terrorism.","foreign-policy,history,terrorism",mitch-mcconnell,Senate minority leader,Kentucky,republican,7.0,6.0,5.0,7.0,0.0,"an interview on CNN's ""State of the Union""",2,"['says', 'secretary', 'of', 'state', 'john', 'kerry,', 'when', 'he', 'was', 'a', 'senator,', 'flew', 'to', 'managua', 'and', 'met', 'with', 'a', 'communist', 'dictator', 'there,', 'daniel', 'ortega,', 'and', 'accused', 'the', 'reagan', 'administration', 'of', 'engaging', 'in', 'terrorism', '.']"
13142.json,false,"NATO is opening up a major terror division. ... Im sure Im not going to get credit for it, but that was largely because of what I was saying and my criticism of NATO.","foreign-policy,military,terrorism",donald-trump,President-Elect,New York,republican,63.0,114.0,51.0,37.0,61.0,a presidential debate at Hofstra University,0,"['nato', 'is', 'opening', 'up', 'a', 'major', 'terror', 'division', '.', '.', '.', '.', 'im', 'sure', 'im', 'not', 'going', 'to', 'get', 'credit', 'for', 'it,', 'but', 'that', 'was', 'largely', 'because', 'of', 'what', 'i', 'was', 'saying', 'and', 'my', 'criticism', 'of', 'nato', '.']"
338.json,true,Sen. Obama has always had a 100 percent prochoice rating.,abortion,barack-obama,President,Illinois,democrat,70.0,71.0,160.0,163.0,9.0,an e-mail message sent to voters before Super Tuesday.,2,"['sen', '.', 'obama', 'has', 'always', 'had', 'a', '100', 'percent', 'prochoice', 'rating', '.']"
2820.json,true,The (federal) debt is growing by more than $4 billion a day.,"deficit,economy,federal-budget",rick-perry,Governor,Texas,republican,30.0,30.0,42.0,23.0,18.0,"in ""Fed Up! Our Fight to Save America from Washington""",2,"['the', '(federal)', 'debt', 'is', 'growing', 'by', 'more', 'than', '$4', 'billion', 'a', 'day', '.']"
9492.json,half-true,"The IRS also investigated liberal groups, groups that had progressive in their name. ... The IRS was basically looking at everybody.","elections,taxes",donna-brazile,Political commentator,"Washington, D.C.",democrat,0.0,1.0,4.0,7.0,0.0,"comments on CNN's ""State of the Union""",1,"['the', 'irs', 'also', 'investigated', 'liberal', 'groups,', 'groups', 'that', 'had', 'progressive', 'in', 'their', 'name', '.', '.', '.', '.', 'the', 'irs', 'was', 'basically', 'looking', 'at', 'everybody', '.']"
10423.json,true,The economy is creating jobs at the fastest pace since 1999.,"economy,jobs",barack-obama,President,Illinois,democrat,70.0,71.0,160.0,163.0,9.0,the State of the Union address,2,"['the', 'economy', 'is', 'creating', 'jobs', 'at', 'the', 'fastest', 'pace', 'since', '1999', '.']"
162.json,pants-fire,"Rudy Giuliani is ""probably the most underqualified man since George Bush to seek the presidency.""",job-accomplishments,joe-biden,U.S. senator,Delaware,democrat,11.0,10.0,21.0,16.0,4.0,Philadelphia,0,"['rudy', 'giuliani', 'is', '""probably', 'the', 'most', 'underqualified', 'man', 'since', 'george', 'bush', 'to', 'seek', 'the', 'presidency', '.""']"
6777.json,pants-fire,Barack Hussein Obama will ... force courts to accept Islamic Sharia law in domestic disputes.,"islam,message-machine-2012",government-not-god-pac,,,none,1.0,2.0,0.0,0.0,3.0,a newspaper ad,0,"['barack', 'hussein', 'obama', 'will', '.', '.', '.', 'force', 'courts', 'to', 'accept', 'islamic', 'sharia', 'law', 'in', 'domestic', 'disputes', '.']"
2555.json,mostly-true,"The years that I was speaker, the Florida House consistently offered leaner budgets than the governor offered.","state-budget,taxes",marco-rubio,U.S. Senator,Florida,republican,33.0,24.0,32.0,35.0,5.0,an ABC News U.S. Senate debate.,2,"['the', 'years', 'that', 'i', 'was', 'speaker,', 'the', 'florida', 'house', 'consistently', 'offered', 'leaner', 'budgets', 'than', 'the', 'governor', 'offered', '.']"
8985.json,true,Says the U.S. Supreme Court found that Social Security is not guaranteed.,social-security,david-jolly,,Florida,republican,4.0,0.0,1.0,1.0,0.0,a Congressional campaign debate,2,"['says', 'the', 'u', '.s', '.', 'supreme', 'court', 'found', 'that', 'social', 'security', 'is', 'not', 'guaranteed', '.']"
7324.json,barely-true,"Research shows that a vast majority of arriving immigrants today come here because they believe that government is the source of prosperity, and thats what they support.","immigration,pundits",rush-limbaugh,Radio host,,none,9.0,11.0,5.0,2.0,10.0,a radio interview,1,"['research', 'shows', 'that', 'a', 'vast', 'majority', 'of', 'arriving', 'immigrants', 'today', 'come', 'here', 'because', 'they', 'believe', 'that', 'government', 'is', 'the', 'source', 'of', 'prosperity,', 'and', 'thats', 'what', 'they', 'support', '.']"
2257.json,false,Mr. Caprio is a career politician who has never worked in the private sector.,candidates-biography,john-robitaille,,Rhode Island,republican,0.0,1.0,2.0,0.0,0.0,a campaign news release,0,"['mr', '.', 'caprio', 'is', 'a', 'career', 'politician', 'who', 'has', 'never', 'worked', 'in', 'the', 'private', 'sector', '.']"
8019.json,barely-true,"In Rhode Island, 9 percent of workers use the states temporary disability insurance program each year while in New Jersey, the rate is only 3 percent.","disability,labor,states,workers",patricia-morgan,Financial adviser,Rhode Island,republican,1.0,0.0,1.0,1.0,0.0,a speech on the House floor.,1,"['in', 'rhode', 'island,', '9', 'percent', 'of', 'workers', 'use', 'the', 'states', 'temporary', 'disability', 'insurance', 'program', 'each', 'year', 'while', 'in', 'new', 'jersey,', 'the', 'rate', 'is', 'only', '3', 'percent', '.']"
10947.json,mostly-true,"In just 17 years, spending for Social Security, federal health care and interest on the debt will exceed ALL tax revenue!","debt,federal-budget,taxes",dave-brat,College professor,Virginia,republican,2.0,5.0,0.0,2.0,0.0,a Facebook post,2,"['in', 'just', '17', 'years,', 'spending', 'for', 'social', 'security,', 'federal', 'health', 'care', 'and', 'interest', 'on', 'the', 'debt', 'will', 'exceed', 'all', 'tax', 'revenue!']"
13241.json,half-true,Donald Trump has said nuclear proliferation is OK.,nuclear,mark-warner,U.S. Senator,Virginia,democrat,3.0,1.0,6.0,3.0,0.0,a TV interview.,1,"['donald', 'trump', 'has', 'said', 'nuclear', 'proliferation', 'is', 'ok', '.']"
445.json,true,"Hillary Clinton has taken over $800,000 from lobbyists.",ethics,barack-obama,President,Illinois,democrat,70.0,71.0,160.0,163.0,9.0,an online ad.,2,"['hillary', 'clinton', 'has', 'taken', 'over', '$800,000', 'from', 'lobbyists', '.']"
6588.json,false,Barack Obama has never even worked in business.,candidates-biography,rob-portman,U.S. senator from Ohio,Ohio,republican,3.0,5.0,11.0,11.0,1.0,a speech at the Republican National Convention in Tampa,0,"['barack', 'obama', 'has', 'never', 'even', 'worked', 'in', 'business', '.']"
3782.json,false,Says Gov. Rick Perry has been begging for the federal government to send the Coast Guard to patrol two lakes on the U.S.-Mexico border.,"crime,immigration",louie-gohmert,U.S. House member,Texas,republican,2.0,6.0,1.0,0.0,1.0,a radio interview.,0,"['says', 'gov', '.', 'rick', 'perry', 'has', 'been', 'begging', 'for', 'the', 'federal', 'government', 'to', 'send', 'the', 'coast', 'guard', 'to', 'patrol', 'two', 'lakes', 'on', 'the', 'u', '.s', '.-mexico', 'border', '.']"
3864.json,pants-fire,Michigan and Massachusetts raised their bottle deposit and could no longer afford the program because the redemptions were so high there was no profit in there.,environment,jeff-kruse,state senator,Oregon,republican,0.0,0.0,1.0,0.0,2.0,on the Oregon Senate floor,0,"['michigan', 'and', 'massachusetts', 'raised', 'their', 'bottle', 'deposit', 'and', 'could', 'no', 'longer', 'afford', 'the', 'program', 'because', 'the', 'redemptions', 'were', 'so', 'high', 'there', 'was', 'no', 'profit', 'in', 'there', '.']"
11582.json,barely-true,Climate change is directly related to the growth of terrorism.,"climate-change,terrorism",bernie-s,U.S. Senator,Vermont,independent,18.0,12.0,22.0,41.0,0.0,"a Democratic presidential debate in Des Moines, Iowa.",1,"['climate', 'change', 'is', 'directly', 'related', 'to', 'the', 'growth', 'of', 'terrorism', '.']"
704.json,half-true,While Sarah was Mayor of Wasilla she tried to fire our highly respected City Librarian because the Librarian refused to consider removing from the library some books that Sarah wanted removed.,civil-rights,chain-email,,,none,11.0,43.0,8.0,5.0,105.0,a chain e-mail,1,"['while', 'sarah', 'was', 'mayor', 'of', 'wasilla', 'she', 'tried', 'to', 'fire', 'our', 'highly', 'respected', 'city', 'librarian', 'because', 'the', 'librarian', 'refused', 'to', 'consider', 'removing', 'from', 'the', 'library', 'some', 'books', 'that', 'sarah', 'wanted', 'removed', '.']"
1441.json,pants-fire,"The presidents health care proposals will cause most Americans to have their premiums increased, not decreased, and hundreds of millions of people lose their current insurance coverage.","health-care,pundits",nancy-pfotenhauer,political strategist,,republican,0.0,0.0,0.0,0.0,1.0,an interview on CNN,0,"['the', 'presidents', 'health', 'care', 'proposals', 'will', 'cause', 'most', 'americans', 'to', 'have', 'their', 'premiums', 'increased,', 'not', 'decreased,', 'and', 'hundreds', 'of', 'millions', 'of', 'people', 'lose', 'their', 'current', 'insurance', 'coverage', '.']"
12683.json,mostly-true,(Mexican immigrants) are more law-abiding than U.S. citizens and that is a statistic.,immigration,gary-johnson,Presidential candidate,New Mexico,libertarian,3.0,2.0,5.0,6.0,0.0,an interview on CNN,2,"['(mexican', 'immigrants)', 'are', 'more', 'law-abiding', 'than', 'u', '.s', '.', 'citizens', 'and', 'that', 'is', 'a', 'statistic', '.']"
2576.json,half-true,Says Illinois gubernatorial candidate Bill Bradys first priority after winning the primary was to sponsor a bill that would mass-euthanize sheltered dogs and cats in gas chambers.,"agriculture,job-accomplishments,message-machine",pat-quinn,Governor,Illinois,democrat,0.0,0.0,1.0,0.0,1.0,a campaign commercial,1,"['says', 'illinois', 'gubernatorial', 'candidate', 'bill', 'bradys', 'first', 'priority', 'after', 'winning', 'the', 'primary', 'was', 'to', 'sponsor', 'a', 'bill', 'that', 'would', 'mass-euthanize', 'sheltered', 'dogs', 'and', 'cats', 'in', 'gas', 'chambers', '.']"
2954.json,half-true,Barack Obama is in an economy thats only worsened since hes been president of the United States.,"bankruptcy,economy,history,housing,income,job-accomplishments,pundits,abc-news-week,workers",matthew-dowd,Commentator,Texas,independent,0.0,0.0,2.0,4.0,0.0,"an interview on ABC's ""This Week with Christiane Amanpour""",1,"['barack', 'obama', 'is', 'in', 'an', 'economy', 'thats', 'only', 'worsened', 'since', 'hes', 'been', 'president', 'of', 'the', 'united', 'states', '.']"
5288.json,half-true,"Says New Jersey is down nearly 200,000 jobs from its pre-recession peak and with Gov. Chris Christie New Jersey has trailed the rest of America when it comes to unemployment for 12 consecutive months.","economy,job-accomplishments,jobs",one-new-jersey,,,democrat,0.0,0.0,1.0,2.0,0.0,an article posted on One New Jersey’s website,1,"['says', 'new', 'jersey', 'is', 'down', 'nearly', '200,000', 'jobs', 'from', 'its', 'pre-recession', 'peak', 'and', 'with', 'gov', '.', 'chris', 'christie', 'new', 'jersey', 'has', 'trailed', 'the', 'rest', 'of', 'america', 'when', 'it', 'comes', 'to', 'unemployment', 'for', '12', 'consecutive', 'months', '.']"
1266.json,half-true,"Seniors with coverage under Medicare Advantage will give up ""more than their share"" because of health care reform","health-care,medicare",americas-health-insurance-plans,Trade group representing the health insurance industry,"Washington, D.C.",none,0.0,0.0,2.0,0.0,0.0,a televison advertisement,1,"['seniors', 'with', 'coverage', 'under', 'medicare', 'advantage', 'will', 'give', 'up', '""more', 'than', 'their', 'share""', 'because', 'of', 'health', 'care', 'reform']"
